id,name,label,wiki_url,alma_mater,birth_date,birth_place,children,death_date,education,nationality,occupation,spouse
83,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Person,https://vi.wikipedia.org/wiki/Arthur_Wellesley%2C_C%C3%B4ng_t%C6%B0%E1%BB%9Bc_th%E1%BB%A9_1_x%E1%BB%A9_Wellington,Eton College,"Arthur Wesley; 1 tháng 5; năm; 1769; Dublin; ,; Vương quốc Ireland",,,"14 tháng 9; năm; 1852; (83 tuổi); Lâu đài Walmer; ,; Kent; ,; Anh",,,,
84,Anutin Charnvirakul,Person,https://vi.wikipedia.org/wiki/Anutin_Charnvirakul,Hofstra University,"13 tháng 9, 1966; (59 tuổi); Phra Nakhon,; Thái Lan",,2,,,,,
87,Aung San,Person,https://vi.wikipedia.org/wiki/Aung_San,Viện Đại học Yangon,"(; 1915-02-13; ); 13 tháng 2 năm 1915; Natmauk; ,; Magwe; ,; Ấn Độ thuộc Anh",,"4, trong đó có Aung San Oo và Aung San Suu Kyi","19 tháng 7 năm 1947 (32 tuổi); Yangon; ,; Miến Điện thuộc Anh",,,"Nhà chính trị, quân nhân",
88,Arthur C. Clarke,Person,https://vi.wikipedia.org/wiki/Arthur_C._Clarke,Đại học Nhà vua Luân Đôn,"Arthur Charles Clarke; (; 1917-12-16; ); 16 tháng 12 năm 1917; Minehead; ,; Somerset; , Anh",,,"19 tháng 3 năm 2008; (2008-03-19); (90 tuổi); Colombo; , Sri Lanka",,Anh Quốc,"Nhà văn, nhà phát minh, nhà tương lai học",
89,Augusto Pinochet,Person,https://vi.wikipedia.org/wiki/Augusto_Pinochet,Học viện Chiến tranh Chile,"Augusto José Ramón Pinochet Ugarte; 25 tháng 11; năm; 1915; Valparaíso; ,; Chile",,"5, bao gồm Inés Lucía Pinochet","10 tháng 12; năm; 2006; (91 tuổi); Santiago; ,; Chile",,,Sĩ quan quân đội Tổng thống,
91,Asa Hutchinson,Person,https://vi.wikipedia.org/wiki/Asa_Hutchinson,Đại học Bob Jones; (BA); Đại học Arkansas; (JD),"tháng 12, 1950 (74 tuổi); Bentonville; ,; Benton, Arkansas; ,; Hoa Kỳ",,4,,"Cử nhân Nghệ thuật, Tiến sĩ Luật",Hoa Kỳ,"Luật gia, Doanh nhân; Chính trị gia",
92,Ayman al-Zawahiri,Person,https://vi.wikipedia.org/wiki/Ayman_al-Zawahiri,Cairo University,"Ayman Mohammed Rabie al-Zawahiri; (; 1951-06-19; ); 19 tháng 6, 1951; Maadi; ,; Cairo; ,; Vương quốc Ai Cập",,Danh sách Fatima Umayma Nabila Khadiga Mohammed Aisha Nawwar,"31 tháng 7, 2022; (2022-07-31); (71 tuổi); Kabul; ,; Afghanistan",,Người Ai Cập,Ngoại Khoa,
93,B. D. Jatti,Person,https://vi.wikipedia.org/wiki/B._D._Jatti,Đại học Shivaji,"Basappa Danappa Jatti; 10 tháng 9; năm; 1913; Savalagi; ,; Tỉnh Bombay; ,; Ấn Độ thuộc Anh; (nay là; Karnataka; ,; Ấn Độ; )",,,"7 tháng 6; năm; 2002; (88 tuổi); Bangalore; ,; Karnataka; ,; Ấn Độ",,,,
95,Beata Szydło,Person,https://vi.wikipedia.org/wiki/Beata_Szyd%C5%82o,Jagiellonian University,"15 tháng 4, 1963; (62 tuổi); Oświęcim; ,; Ba Lan",,2,,,,,
97,Ben Carson,Person,https://vi.wikipedia.org/wiki/Ben_Carson,Đại học Yale; (; BA; ); Đại học Michigan; (; MD; ),"13 tháng 9, 1951; (74 tuổi); Detroit, Michigan; , Mỹ",,3,,,,Phẫu thuật thần kinh chính trị gia học giả tác giả,
