id,name,label,wiki_url,career
687,Lý Hiểu Hồng,Person,https://vi.wikipedia.org/wiki/L%C3%BD_Hi%E1%BB%83u_H%E1%BB%93ng,Nhà khoa học; Chính trị gia
689,Lý Quốc Anh,Person,https://vi.wikipedia.org/wiki/L%C3%BD_Qu%E1%BB%91c_Anh,Nhà khoa học; Chính trị gia
691,Lý Thư Lỗi,Person,https://vi.wikipedia.org/wiki/L%C3%BD_Th%C6%B0_L%E1%BB%97i,Nhà giáo dục; Chính trị gia
692,Lý Hi,Person,https://vi.wikipedia.org/wiki/L%C3%BD_Hi,Chính trị gia
694,Lưu Kết Nhất,Person,https://vi.wikipedia.org/wiki/L%C6%B0u_K%E1%BA%BFt_Nh%E1%BA%A5t,Đại biểu nước Cộng hoà Nhân dân Trung Hoa tại Liên Hợp Quốc
699,Lý Gia Siêu,Person,https://vi.wikipedia.org/wiki/L%C3%BD_Gia_Si%C3%AAu,Cảnh sát; Chính trị gia
703,Lục Trị Nguyên,Person,https://vi.wikipedia.org/wiki/L%E1%BB%A5c_Tr%E1%BB%8B_Nguy%C3%AAn,Chính trị gia
709,Lưu Quốc Trung,Person,https://vi.wikipedia.org/wiki/L%C6%B0u_Qu%E1%BB%91c_Trung,Chính trị gia
710,Mahathir Mohamad,Person,https://vi.wikipedia.org/wiki/Mahathir_Mohamad,Nhà Vật lý
714,Malcolm Fraser,Person,https://vi.wikipedia.org/wiki/Malcolm_Fraser,Pastoral farmer
716,Malala Yousafzai,Person,https://vi.wikipedia.org/wiki/Malala_Yousafzai,Nhà hoạt động xã hội cho giáo dục dành cho phụ nữ
717,Malcolm Turnbull,Person,https://vi.wikipedia.org/wiki/Malcolm_Turnbull,Giám đốc; Chủ ngân hàng đầu tư
718,Manuel Roxas,Person,https://vi.wikipedia.org/wiki/Manuel_Roxas,"Luật sư , Binh sĩ"
722,Lương Cường,Person,https://vi.wikipedia.org/wiki/L%C6%B0%C6%A1ng_C%C6%B0%E1%BB%9Dng,Sĩ quan
735,Margaret Thatcher,Person,https://vi.wikipedia.org/wiki/Margaret_Thatcher,Nhà hóa học; Luật sư
736,Mark Gordon (chính trị gia),Person,https://vi.wikipedia.org/wiki/Mark_Gordon_%28ch%C3%ADnh_tr%E1%BB%8B_gia%29,Chính trị gia
738,Maria Ressa,Person,https://vi.wikipedia.org/wiki/Maria_Ressa,"Phóng viên, tác gia"
741,Mark Rutte,Person,https://vi.wikipedia.org/wiki/Mark_Rutte,Nhà chính trị; Công chức; Giáo viên; [; 1; ]
743,Mark Zuckerberg,Person,https://vi.wikipedia.org/wiki/Mark_Zuckerberg,"Lập trình viên máy tính, doanh nghiệp Internet"
746,Max Bruch,Person,https://vi.wikipedia.org/wiki/Max_Bruch,"nhà soạn nhạc , nhạc trưởng , giáo viên"
754,Michael Bloomberg,Person,https://vi.wikipedia.org/wiki/Michael_Bloomberg,"Doanh nhân, chính trị gia, nhà hoạt động nhân đạo"
762,Michel Debré,Person,https://vi.wikipedia.org/wiki/Michel_Debr%C3%A9,Luật sư
765,Miguel Cardona,Person,https://vi.wikipedia.org/wiki/Miguel_Cardona,Nhà giáo dục
