id,name,label,wiki_url,1981–1984,1984–1985,1985–1986,1986–1987,1987,1987–1988,1987–2003,1988–1992,1992–1995,1995–2000,2000,2000–2001,2001–2003,2013–2015,2013–2018,2013–2019,2015–2019,2018–2019,2019,2019 đến nay,2019–2020,2020 đến nay,2020–2021,2022 đến nay,Alma mater,An nghỉ,An táng,Anh chị em,Bang vụ khanh,Biệt danh,Bí thư,Bí thư Thành ủy,Bí thư Tỉnh ủy,Bí thư thứ nhấtBan Bí thư,Bí thư Đảng ủy Bộ,Bính âm Hán ngữ,Bút danh,Bạn đời,Bảo trợ,Bổ nhiệm,Bổ nhiệm bởi,Bộ trưởng,Bộ trưởng Quốc phòng,Cha,Cha mẹ,Chief Minister,Chief Ministers,Chief Whip,Chiều cao,Chosŏn'gŭl,Chuyên môn,Chuyển tự,Chánh án,Chân phước,Chỉ huy,Chịu ảnh hưởng của,Chồng,Chủ nhiệm,Chủ tịch,Chủ tịch Chính phủ Quốc dân,Chủ tịch Hạ viện,Chủ tịch Hội đồng,Chủ tịch Hội đồng Nhân dân,Chủ tịch Mặt trận,Chủ tịch Quân ủy,Chủ tịch Quốc hội,Chủ tịch Thượng viện,Chủ tịch nước,Chủ tịch Đảng,Chủ tịch Ủy ban,Chủ tịch(Thủ tướng),Chủ đề,Chức bộ trưởng,Chức bộ trưởng1908–1929,Chức bộ trưởng1939–1952,Chức nghị sĩ,Chức quan,Chức vị,Chức vụ cao cấp,Chức vụ khác,Chức vụ quan trọng khác,Chữ ký,Con cái,Các chức khác,Các chức vụ chính phủ,Các chức vụ khác,Các nghiên cứu sinh nổi tiếng,Các nút Play,Các sinh viên nổi tiếng,"Cán bộ điều hành,PEC",Có tác phẩm trong,Công dân,Công nhận,Công trình tiêu biểu,Công việc trước đó,Cùng với,Cư trú,Cấp bậc,Cấp phó,Cố vấn Nhà nước,Cố vấn nhà nước,Danh hiệu,Deputy,Dân tộc,Dạng thời khóa biểu,First Deputy,Führer,Führer/Tổng thống,General Secretary,Gia quyến,Gia tộc,Gia đình,Giai đoạn sáng tác,Giáo dục,Giáo hội,Giáo phận,Giáo tỉnh,Giải thưởng,Giải thưởng nổi bật,Giảng viên,Giản thể,Giới tính,Hancha,Hangul,Hanja,Head,Head of Government,Hiragana,Hiệu trưởng,Hoàng tộc,Hoàng đế,Hán-Việt,Hãng đĩa,Hôn nhân,Hạng,Hậu duệ,Hết nhiệm,Hệ phái,Họ hàng,Học kỳ,Học sinh,Học vấn,Học vị,Hợp tác với,IPA,Julie Payette,Junior ministerial offices,Kanji,Katakana,Khu bầu cử,Khu vực,Khu vực bầu cử,Khuôn viên,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kế nhiệm,Latinh hóa,Latinh hóa Yale,Linh vật,Liên kết học tập,Liên kết thể thao,Location,Loại,Loại giọng,Loại hình,Luận án,Lãnh tụ Tối cao,Lãnh tụ tối cao,Lãnh đạo,Lĩnh vực,Lương bổng,Lượt đăng ký,Lễ kính,McCune–Reischauer,Ministry,Muhammad Yunus,Màu,Mãn nhiệm,Mất,Mẹ,National Chair,Net worth,Nghiên cứu sinh,Nghề nghiệp,Nghỉ hưu,Nghị phó,Nguyên nhân,Nguyên nhân mất,Nguyên quán,Ngành,Ngành phụ,Ngày an táng,Ngày mất,Ngày sinh,Ngôn ngữ,Người bảo trợ,Người hướng dẫn luận án tiến sĩ,Người phối ngẫu,Người thân,Người tình,Nhiếp chính,Nhiệm kỳ,Nhà tuyển dụng,Nhân viên,Nhân viên quản lý,Nhạc cụ,Năm,Năm hoạt động,Năm tại ngũ,Năm tại ngũ,Nơi an nghỉ,Nơi an táng,Nơi công tác,Nơi cư ngụ,Nơi cư trú,Nơi mất,Nơi sinh,Nơi ở,Nổi tiếng vì,Nổi tiếng vì,Nội các,Nữ hoàng,Nữ hoàng/Vua,Nữ vương,POJtiếng Mân Tuyền Chương,Phiên âm,Phong thánh,Phát ngôn nhân,Phê phán,Phó Bí thư,Phó Chủ nhiệm,Phó Chủ tịch,Phó Chủ tịch nước,Phó Giám đốc,Phó Hiệu trưởng thứ nhất,Phó Thị trường,Phó Thị trưởng,Phó Thống đốc,Phó Thủ tướng,Phó Thủ tướng thứ nhất,Phó Thủ tướng Đức,Phó Trưởng ban,Phó Tư lệnh kiêm Tham mưu trưởng,Phó Tổng Bí thư,Phó Tổng Giám đốc,Phó Tổng Tham mưu trưởng,Phó Tổng lý,Phó Tổng thống,Phó Tổng thống thứ hai,Phó Tổng thống thứ nhất Zimbabwe,Phó chủ nhiệm,Phó chức,Phó hiệu trưởng,Phó thị trưởng,Phó thống đốc,Phó thủ tướng,Phó tổng thống,Phó Ủy viên trưởng,Phù hiệu,Phù hiệu sứ mệnh,Phối ngẫu,Phồn thể,Phụ tá Tổng trưởngĐổng lý Văn phòng,Phục vụ,Positions,Quan hệ,Quan thầy của,Quan tâm chính,Quyền Tổng Tham mưu trưởng,Quân chủ,Quân chủng,Quê quán,Quốc trưởng,Quốc tịch,Quốc vương,Romaja quốc ngữ,Rōmaji,Rửa tội,Secretary-General,Sinh,Sinh viên,Sinh viên nổi bật,Sinh viên sau đại học,Sinh viên đại học,Sáng lập,Số Sinh viên,Số phiếu,Số quân chủng,Sứ mệnh,Taoiseach,Tham chiến,Thiên hoàng,Thuộc,Thành lập,Thành viên của,Thành viên của hội đồng,Thánh hiệu,Thân mẫu,Thân phụ,Thăng Hồng y,Thư ký đảng,Thường trực Ban Bí thư,Thầy giáo,Thể loại,Thị trưởng,Thống đốc,Thời gian trong không gian,Thời kỳ,Thụ phong,Thụ phong Linh mục,Thủ hiến,Thủ tướng,Thứ trưởng,Thứ trưởng (6),Tiếng Trung,Tiền lương,Tiền nhiệm,Toàn quyền,Trang web,Trang web chính thức,Trào lưu,Trường học,Trường lớp,Trường phái,Trường theo học,Trưởng ban,Trữ quân,Tuyên khấn,Tuyển chọn,Tài sản,Tài trợ,Tác phẩm,Tác phẩm nổi bật,Tác phẩm đáng chú ý,Tác phẩm nổi bật,Tánaiste,Tâi-lô,Tên bản ngữ,Tên chính thức,Tên khai sinh,Tên khác,Tên đầy đủ,Tình trạng kết hôn,Tòa,Tôn giáo,Tư cách công dân,Tư lệnh Hành quân,Tư tưởng nổi bật,Tại vị,Tấn phong,Tấn phong Giám mục,Tặng thưởng,Tặng thưởng dân sự,Tặng thưởng quân sự,Tỉ lệ,Tổ chức,Tổng Bí thư,Tổng Giám đốc,Tổng Tham mưu trưởng,Tổng Thanh tra,Tổng Thư ký,Tổng Tư lệnh,Tổng cộng,Tổng giám đốc,Tổng lý,Tổng lý Quốc vụ viên,Tổng lý Quốc vụ viện,Tổng lượt xem,Tổng thư ký,Tổng thống,Tổng tư lệnh quân đội,Tổng-Thư ký,Tờ báo,Tựu nhiệm,Vai diễn,Vice President,Vinh thăng Hồng y,Viện trưởng,Viện trưởng Hành chính viện,Việt bính,Vua,Vua/Nữ hoàng,Vùng,Văn phòng Bộ,Văn phòng Quốc hội,Vương tộc,Vị trí,Vợ,Vợ/chồng,Wade–Giles,Website,Whip,nhậm chức cùng,Ý tưởng tiêu biểu,Đào tạo,Đóng góp,Đăng quang,Đơn vị,Đương nhiệm,Đại biểu Quốc hội,Đại diện,Đại sứ,Đảng chính trị,Đảng khác,Đảng phái chính trị,Đặc khu trưởng,Đề cử,Đề cử bởi,Đền chính,Đệ nhất Tổng tài,Đối tượng chính,Đồng Thủ tướng,Đồng chủ tịch,Đồng tại nhiệm,Đồng tại vị,Đứng đầu,Ảnh hưởng bởi,Ảnh hưởng tới,Ủy viên trưởng,Ủy viên trưởng Nhân Đại
11,Adly Mansour,Person,https://vi.wikipedia.org/wiki/Adly_Mansour,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Cairo; École nationale d'administration,,,,,,,,,,,,,,,Mohamed Morsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdel Fattah el-Sisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed ElBaradei (Quyền),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23 tháng 12, 1945; (79 tuổi); Cairo; ,; Vương quốc Ai Cập",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hazem Al Beblawi; Ibrahim Mahlab,,,,,Mohamed Morsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Độc lập,,,,,,,,,,,,,,,,,
12,Abhisit Vejjajiva,Person,https://vi.wikipedia.org/wiki/Abhisit_Vejjajiva,,,,,,,,,,,,,,,,,,,,,,,,,"Eton College; St John's College, Oxford; Ramkhamhaeng University",,,,,,,,,,,,,,,,,,,,,,,,,,Chuyên gia kinh tế [ 4 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prang; Punnasit; [; 3; ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chalerm Yubamrung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobsak Sabhavasu; Trairong Suwankiri; Suthep Thaugsuban,,,,,Pimpen Vejjajiva,,,,,,,,,,,,,,Bhumibol Adulyadej,,,,,"Mark Abhisit Vejjajiva; 3 tháng 8, 1964; (61 tuổi); Wallsend; ,; Northumberland; ,; Anh; [; 1; ]; [; 2; ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thaksin Shinawatra; Chitchai Wannasathit; (Quyền); Samak Sundaravej; Somchai Wongsawat; Chavarat Charnvirakul; (Quyền),,,,,Banyat Bantadtan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Dân chủ,,,,,,,,,,,,,,,,,
13,Ahmad Massoud,Person,https://vi.wikipedia.org/wiki/Ahmad_Massoud,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Hoàng đế Luân Đôn; Đại học London,,,,,,,,,,,,,,,,,,,,Ahmad Shah Massoud Sediqa Massoud,,,,,,,,,,Kháng chiến Panjshir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEO của Quỹ Massoud,,,,,,,,,,,,,,,,,,17 tháng 8 năm 2021 –,,,,,,,5 tháng 9 năm 2019–nay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt trận kháng chiến quốc gia Afghanistan,,,,,,,,,,,,,,,,"10 tháng 7, 1989; (36 tuổi); Warsaj; ,; Afghanistan",,,,,,,,,,,Xung đột Panjshir,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmad Shah Massoud ( Chỉ huy Liên minh phương Bắc ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ahmed Kathrada,Person,https://vi.wikipedia.org/wiki/Ahmed_Kathrada,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Nam Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lenasia,,,,,,,,,,,,,,,,,,,,,,,,,,,"28 tháng 3 năm 2017; (2017-03-28); (87 tuổi); Johannesburg; , South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbara Hogan,,,,,,,,,,,,,,,,,,,"Ahmed Mohamed Kathrada; (; 1929-08-21; ); 21 tháng 8 năm 1929; Schweizer-Reneke; ,; Transvaal Province; ,; Union of South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kathradafoundation.org,,,,,,,,,,,,Đại hội Dân tộc Phi; Đảng Cộng sản Nam Phi,,,,,,,,,,,,,,,,,
15,Ahmet Davutoğlu,Person,https://vi.wikipedia.org/wiki/Ahmet_Davuto%C4%9Flu,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Boğaziçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sefure; Meymune; Mehmet; Hacer Bike,,,,,,,,,,,,,,,,Cabinet I; (2014–15); Bülent Arınç; Ali Babacan; Yalçın Akdoğan; Numan Kurtulmuş; Cabinet II; (2015–); Yalçın Akdoğan; Numan Kurtulmuş; Cevdet Yılmaz; Tuğrul Türkeş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mevlüt Çavuşoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sare Davutoğlu (1984–nay),,,,,,,,,,,,,,,,,,,"26 tháng 2, 1959; (66 tuổi); Konya; ,; Thổ Nhĩ Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recep Tayyip Erdoğan,,,,,Ali Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recep Tayyip Erdoğan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Công lý và Phát triển,,,,,,,,,,,,,,,,,
16,Alain Poher,Person,https://vi.wikipedia.org/wiki/Alain_Poher,,,,,,,,,,,,,,,,,,,,,,,,,Mines ParisTech; Sciences Po,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie-Agnès; Marie-Therese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Scelba,,,,,,,,,,,,,,,,,,,,,,,"9 tháng 12; năm; 1996; (87 tuổi); Toulouse; ,; Pháp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henriette Tugler,,,,,,,,,,,,,,,,,,,"Alain Émile Louis Marie Poher; 17 tháng 4; năm; 1909; Ablon-sur-Seine; ,; Đệ tam Cộng hòa Pháp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Leemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phong trào Cộng hoà Nhân dân; (Trước 1967); Trung tâm Dân chủ; (1967–1976); Trung tâm Dân chủ Xã hội; (1976–1995); Lực lượng Dân chủ; (1995–1996),Liên minh vì Nền Dân chủ Pháp (1978–1996),,,,,,,,,,,,,,,,
17,Alar Karis,Person,https://vi.wikipedia.org/wiki/Alar_Karis,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Khoa học Đời sống Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mait Klaassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sirje Karis (cưới 1977),,,,,,,,,,,,,,,,,,,"26 tháng 3, 1958; (67 tuổi); Tartu; , Estonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaja Kallas,,,,,Henn Elmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Không đảng phái,,,,,,,,,,,,,,,,,
18,Ahmet Necdet Sezer,Person,https://vi.wikipedia.org/wiki/Ahmet_Necdet_Sezer,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Ankara, Trường Luật",,,,,,,,,,,,,,,,,,,,,,,,,,Thẩm phán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mustafa Bumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semra Sezer,,,,,,,,,,,,,,,,,,,"13 tháng 9, 1941; (84 tuổi); Afyonkarahisar; ,; Thổ Nhĩ Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bülent Ecevit Abdullah Gül Recep Tayyip Erdoğan,,,,,Yekta Güngör Özden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Abe Shinzō,Person,https://vi.wikipedia.org/wiki/Abe_Shinz%C5%8D,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Seikei; (; BA; ); Đại học Nam California,,,,,,,,,,,,,,,,,,,,Abe Shintarō; Abe Yoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kōmura Masahiko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khu vực 1 Yamaguchi,,,,Kōmura Masahiko,,,,,,,,,,,,,Koizumi Junichirō,,,,,,,,,,"8 tháng 7 năm 2022; (2022-07-08); (67 tuổi); Kashihara; ,; Nara; ,; Nhật Bản",,,,,,,,,Bị ám sát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matsuzaki Akie (cưới 1987–2022),,,,,,,,,,,,,,,,,,,"安倍晋三; (; Abe Shinzō; ,; An Bội Tấn Tam; ?; ); (; 1954-09-21; ); 21 tháng 9 năm 1954; Tokyo; ,; Nhật Bản",,,,,,,"86.258 (58,40%)",,,,,Akihito,,,,,,,,,,,,,,,,,,,,Koizumi Junichirō,,,,,Khu vực bầu cử mới,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thần đạo,,,,,,,,,,,,,,,,Takebe Tsutomu; Nakagawa Hidenao; Asō Tarō,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dân chủ Tự do,,,,,,,,,,,,,,,,,
20,Alain Juppé,Person,https://vi.wikipedia.org/wiki/Alain_Jupp%C3%A9,,,,,,,,,,,,,,,,,,,,,,,,,École Normale Supérieure; Sciences Po; École nationale d'administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pierre Bérégovoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christine Leblond; (1965–1993); Isabelle Legrand-Bodin; (1993–nay),,,,,,,,,,,,,,,,,,,"Alain Marie Juppé; 15 tháng 8, 1945; (80 tuổi); Mont-de-Marsan; ,; Pháp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacques Chirac,,,,,Henri Emmanuelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacques Chirac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tập hợp vì Nền Cộng hoà; (Before 2002); Liên minh vì Phong trào Nhân dân; (2002–2015); Đảng Cộng hoà; (2015–nay),,,,,,,,,,,,,,,,,
21,Adolfo Suárez,Person,https://vi.wikipedia.org/wiki/Adolfo_Su%C3%A1rez,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Salamanca,,,,,,,,,,,,,,,,,,,,Hipólito Suárez Guerra; Herminia González Prados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,María Amparo; (1963 – 2004); Adolfo; (b. 1964); Laura; (b. 1966); Sonsoles; (b. 1967); Francisco Javier; (b. 1969),,,,,,,,,,,,,,,,Manuel Gutiérrez Mellado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariano Pérez-Hickman,,,,,,,,,,,,,Francisco Franco,,,,,,,,,,"23 tháng 3 năm 2014; (2014-03-23); (81 tuổi); Madrid; ,; Vương quốc Tây Ban Nha",,,,,Nhà tư pháp,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhà thờ chính tòa Ávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amparo Illana Elórtegui (d. 2001),,,,,,,,,Juan Carlos I,,,,Tây Ban Nha,,,,,,"Adolfo Suárez González; (; 1932-09-25; ); 25 tháng 9 năm 1932; Cebreros; ,; Cộng hòa Tây Ban Nha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Murillo de Valdivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Arias Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDS,FET y de las JONS; (1958 – 1977); Union of the Democratic Centre; (1977 – 1982); Democratic and Social Centre; (1982 – 1991),,,,,,,,,,,,,,,,
22,Alan García,Person,https://vi.wikipedia.org/wiki/Alan_Garc%C3%ADa,,,,,,,,,,,,,,,,,,,,,,,,,Pontifical Catholic University of Peru; National University of San Marcos; Đại học Complutense; Đại học Pantheon-Sorbonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armando Villanueva; Luis Negreiros,,,,,,,,,,,,,,,,,,,,,,,"17 tháng 4 năm 2019; (2019-04-17); (69 tuổi); Lima; ,; Peru",,,,,,,,,Tự sát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Alberto Sánchez; Luis Alva Castro,,,,,,,,,,,,,Carla Buscaglia; (Ly hôn); Pilar Nores; (1978-2019 đến nay),,,,,,,,,,,,,,,,,,,"Alan Gabriel Ludwig García Pérez; (; 1949-05-23; ); 23 tháng 5 năm 1949; Lima; ,; Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Alva Castro; Armando Villanueva; Luis Alberto Sánchez; Guillermo Larco Cox,,,,,Fernando León de Vivero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Aprista Peru,Popular Alliance (2015-2016),,,,,,,,,,,,,,,,
23,Alassane Ouattara,Person,https://vi.wikipedia.org/wiki/Alassane_Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Drexel; Đại học Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Kablan Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 tháng 11; năm; 1990; –; 9 tháng 12; năm; 1993; 3 năm, 32 ngày",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 tháng 1, 1942; (83 tuổi); Dimbokro; ,; Tây Phi thuộc Pháp; (nay là; Côte d'Ivoire; )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Félix Houphouët-Boigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hồi giáo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tập hợp những người Cộng hòa,,,,,,,,,,,,,,,,,
24,Alben W. Barkley,Person,https://vi.wikipedia.org/wiki/Alben_W._Barkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,J. Lister Hill; Sherman Minton; J. Hamilton Lewis,,,,,,,,,,,,,,,Emory University; (; BA; ); University of Virginia; (; JD; ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Voris Gregory,,,,,,,,,,,,,,,,,,,,,,,"30 tháng 4, 1956; (1956-04-30); (78 tuổi); Lexington, Virginia; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,Stephen M. Truitt (cháu trai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorothy Brower; (cưới 1903⁠–⁠mất 1947); Jane Rucker Hadley; (cưới 1949),,,,,,,,,,,,,,,,,,,"Alben William Barkley; (; 1877-11-24; ); 24 tháng 11, 1877; Lowes, Kentucky; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ollie M. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dân chủ,,,,,,,,,,,,,,,,,
